at_ms	cluster_state	victim_flags
1790219700166	ok	master
1790219700870	ok	master
1790219701599	ok	master
1790219702320	ok	master
1790219703052	ok	master
1790219703775	ok	master
1790219704502	ok	master
1790219705226	ok	master
1790219705941	ok	master,fail?
1790219706659	fail	master,fail
1790219707390	ok	master,fail
1790219708096	ok	master,fail
1790219708798	ok	master,fail
1790219709505	ok	master,fail
1790219710201	ok	master,fail
1790219710900	ok	master,fail
1790219711608	ok	master,fail
1790219712310	ok	master,fail
1790219713001	ok	master,fail
1790219713696	ok	master,fail
1790219714395	ok	master,fail
1790219715089	ok	master,fail
1790219715788	ok	master,fail
1790219716485	ok	master,fail
1790219717183	ok	master,fail
1790219717876	ok	master,fail
1790219718573	ok	master,fail
1790219719275	ok	master,fail
1790219719968	ok	master,fail
1790219720683	ok	master,fail
1790219721389	ok	master,fail
1790219722082	ok	master,fail
1790219722783	ok	master,fail
1790219723484	ok	master,fail
1790219724186	ok	master,fail
1790219724883	ok	master,fail
1790219725578	ok	master,fail
1790219726276	ok	master,fail
1790219726973	ok	master,fail
1790219727669	ok	master,fail
1790219728362	ok	master,fail
1790219729061	ok	master,fail
1790219729758	ok	master,fail
1790219730486	ok	master,fail
1790219731185	ok	master,fail
1790219731897	ok	master,fail
1790219732595	ok	master,fail
1790219733291	ok	master,fail
1790219733986	ok	master,fail
1790219734682	ok	master,fail
1790219735378	ok	master,fail
1790219736081	ok	master,fail
1790219736774	ok	master,fail
1790219737479	ok	master,fail
1790219738177	ok	master,fail
1790219738874	ok	master,fail
1790219739583	ok	master,fail
1790219740284	ok	master,fail
1790219740983	ok	master,fail
1790219741680	ok	master,fail
