key	key_bytes	value_bytes	encoding	memory_usage_bytes
k	1	1	embstr	32
k	1	2	embstr	32
k	1	3	embstr	32
k	1	4	embstr	32
k	1	5	embstr	32
k	1	6	embstr	32
k	1	7	embstr	32
k	1	8	embstr	32
k	1	9	embstr	40
k	1	10	embstr	40
k	1	11	embstr	40
k	1	12	embstr	40
k	1	13	embstr	40
k	1	14	embstr	40
k	1	15	embstr	40
k	1	16	embstr	40
k	1	17	embstr	48
k	1	18	embstr	48
k	1	19	embstr	48
k	1	20	embstr	48
k	1	21	embstr	48
k	1	22	embstr	48
k	1	23	embstr	48
k	1	24	embstr	48
k	1	25	embstr	56
k	1	26	embstr	56
k	1	27	embstr	56
k	1	28	embstr	56
k	1	29	embstr	56
k	1	30	embstr	56
k	1	31	embstr	56
k	1	32	embstr	56
k	1	33	embstr	64
k	1	34	embstr	64
k	1	35	embstr	64
k	1	36	embstr	64
k	1	37	embstr	64
k	1	38	embstr	64
k	1	39	embstr	64
k	1	40	embstr	64
k	1	41	raw	68
k	1	42	raw	68
k	1	43	raw	68
k	1	44	raw	68
k	1	45	raw	76
k	1	46	raw	76
k	1	47	raw	76
k	1	48	raw	76
user:1001	9	1	embstr	40
user:1001	9	2	embstr	40
user:1001	9	3	embstr	40
user:1001	9	4	embstr	40
user:1001	9	5	embstr	40
user:1001	9	6	embstr	40
user:1001	9	7	embstr	40
user:1001	9	8	embstr	40
user:1001	9	9	embstr	48
user:1001	9	10	embstr	48
user:1001	9	11	embstr	48
user:1001	9	12	embstr	48
user:1001	9	13	embstr	48
user:1001	9	14	embstr	48
user:1001	9	15	embstr	48
user:1001	9	16	embstr	48
user:1001	9	17	embstr	56
user:1001	9	18	embstr	56
user:1001	9	19	embstr	56
user:1001	9	20	embstr	56
user:1001	9	21	embstr	56
user:1001	9	22	embstr	56
user:1001	9	23	embstr	56
user:1001	9	24	embstr	56
user:1001	9	25	embstr	64
user:1001	9	26	embstr	64
user:1001	9	27	embstr	64
user:1001	9	28	embstr	64
user:1001	9	29	embstr	64
user:1001	9	30	embstr	64
user:1001	9	31	embstr	64
user:1001	9	32	embstr	64
user:1001	9	33	raw	68
user:1001	9	34	raw	68
user:1001	9	35	raw	68
user:1001	9	36	raw	68
user:1001	9	37	raw	76
user:1001	9	38	raw	76
user:1001	9	39	raw	76
user:1001	9	40	raw	76
user:1001	9	41	raw	76
user:1001	9	42	raw	76
user:1001	9	43	raw	76
user:1001	9	44	raw	76
user:1001	9	45	raw	84
user:1001	9	46	raw	84
user:1001	9	47	raw	84
user:1001	9	48	raw	84
user:session:1234567890123	26	1	embstr	56
user:session:1234567890123	26	2	embstr	56
user:session:1234567890123	26	3	embstr	56
user:session:1234567890123	26	4	embstr	56
user:session:1234567890123	26	5	embstr	56
user:session:1234567890123	26	6	embstr	56
user:session:1234567890123	26	7	embstr	56
user:session:1234567890123	26	8	embstr	64
user:session:1234567890123	26	9	embstr	64
user:session:1234567890123	26	10	embstr	64
user:session:1234567890123	26	11	embstr	64
user:session:1234567890123	26	12	embstr	64
user:session:1234567890123	26	13	embstr	64
user:session:1234567890123	26	14	embstr	64
user:session:1234567890123	26	15	embstr	64
user:session:1234567890123	26	16	raw	63
user:session:1234567890123	26	17	raw	64
user:session:1234567890123	26	18	raw	65
user:session:1234567890123	26	19	raw	66
user:session:1234567890123	26	20	raw	67
user:session:1234567890123	26	21	raw	68
user:session:1234567890123	26	22	raw	69
user:session:1234567890123	26	23	raw	70
user:session:1234567890123	26	24	raw	71
user:session:1234567890123	26	25	raw	72
user:session:1234567890123	26	26	raw	73
user:session:1234567890123	26	27	raw	74
user:session:1234567890123	26	28	raw	75
user:session:1234567890123	26	29	raw	76
user:session:1234567890123	26	30	raw	77
user:session:1234567890123	26	31	raw	78
user:session:1234567890123	26	32	raw	85
user:session:1234567890123	26	33	raw	85
user:session:1234567890123	26	34	raw	85
user:session:1234567890123	26	35	raw	85
user:session:1234567890123	26	36	raw	85
user:session:1234567890123	26	37	raw	93
user:session:1234567890123	26	38	raw	93
user:session:1234567890123	26	39	raw	93
user:session:1234567890123	26	40	raw	93
user:session:1234567890123	26	41	raw	93
user:session:1234567890123	26	42	raw	93
user:session:1234567890123	26	43	raw	93
user:session:1234567890123	26	44	raw	93
user:session:1234567890123	26	45	raw	101
user:session:1234567890123	26	46	raw	101
user:session:1234567890123	26	47	raw	101
user:session:1234567890123	26	48	raw	101
