sent_at_ms	latency_us	delay_since_due_us
1790219133653	110	164
1790219133656	136	2734
1790219133656	136	2048
1790219133657	122	1284
1790219133657	107	507
1790219133658	93	93
1790219133659	96	96
1790219133660	99	99
1790219133661	95	95
1790219133662	95	95
1790219133663	131	131
1790219133664	153	153
1790219133665	158	158
1790219133666	137	137
1790219133667	119	119
1790219133668	109	109
1790219133669	86	86
1790219133670	125	125
1790219133671	113	113
1790219133672	95	95
1790219133673	93	93
1790219133674	103	103
1790219133675	96	96
1790219133676	89	89
1790219133677	73	73
1790219133678	74	74
1790219133679	71	71
1790219133680	97	97
1790219133681	121	121
1790219133682	110	110
1790219133683	98	98
1790219133684	93	93
1790219133685	127	127
1790219133686	108	108
1790219133687	95	95
1790219133688	111	111
1790219133689	112	112
1790219133690	106	106
1790219133691	110	110
1790219133692	85	85
1790219133693	93	93
1790219133694	118	118
1790219133695	109	109
1790219133696	97	97
1790219133697	84	84
1790219133698	74	74
1790219133699	87	87
1790219133700	82	82
1790219133701	92	92
1790219133702	99	99
1790219133703	108	108
1790219133704	91	91
1790219133705	73	73
1790219133706	79	79
1790219133707	96	96
1790219133708	81	81
1790219133709	102	102
1790219133710	85	85
1790219133711	171	171
1790219133712	83	83
1790219133713	71	71
1790219133714	96	96
1790219133715	129	129
1790219133716	122	122
1790219133717	68	68
1790219133718	72	72
1790219133719	83	83
1790219133720	78	78
1790219133721	97	97
1790219133722	80	80
1790219133723	82	82
1790219133724	99	99
1790219133725	110	110
1790219133726	78	78
1790219133727	72	72
1790219133728	82	82
1790219133729	73	73
1790219133730	74	74
1790219133731	72	72
1790219133732	83	83
1790219133733	91	91
1790219133734	78	78
1790219133735	79	79
1790219133736	175	175
1790219133737	129	129
1790219133738	108	108
1790219133739	93	93
1790219133740	97	97
1790219133741	99	99
1790219133742	101	101
1790219133743	81	81
1790219133744	72	72
1790219133745	70	70
1790219133746	66	66
1790219133747	106	107
1790219133748	98	98
1790219133749	74	74
1790219133750	77	77
1790219133751	72	72
1790219133752	77	77
1790219133753	64	64
1790219133754	72	72
1790219133755	73	73
1790219133756	71	72
1790219133757	72	72
1790219133758	63	63
1790219133759	72	72
1790219133760	73	73
1790219133761	67	67
1790219133762	62	62
1790219133763	65	65
1790219133764	65	65
1790219133765	73	73
1790219133766	63	63
1790219133767	71	71
1790219133768	62	62
1790219133769	71	71
1790219133770	73	73
1790219133771	71	71
1790219133772	89	89
1790219133773	70	70
1790219133774	88	88
1790219133775	80	80
1790219133776	101	101
1790219133777	77	77
1790219133778	87	87
1790219133779	112	112
1790219133780	124	124
1790219133781	88	88
1790219133782	76	76
1790219133783	71	71
1790219133784	74	74
1790219133785	64	64
1790219133786	75	80
1790219133787	73	73
1790219133788	70	70
1790219133789	85	85
1790219133790	70	70
1790219133791	66	66
1790219133792	70	70
1790219133793	66	66
1790219133794	67	67
1790219133795	75	75
1790219133796	56	56
1790219133797	71	71
1790219133798	65	65
1790219133799	65	65
1790219133800	69	69
1790219133801	91	91
1790219133802	73	73
1790219133803	91	91
1790219133804	79	79
1790219133805	72	72
1790219133806	77	77
1790219133807	74	74
1790219133808	79	79
1790219133809	71	71
1790219133810	68	68
1790219133811	68	68
1790219133812	137	137
1790219133813	71	71
1790219133814	67	67
1790219133815	69	69
1790219133816	68	68
1790219133817	64	64
1790219133818	65	65
1790219133819	74	74
1790219133820	63	63
1790219133821	66	66
1790219133822	68	68
1790219133823	64	64
1790219133824	68	68
1790219133825	70	70
1790219133826	65	65
1790219133827	71	71
1790219133828	62	62
1790219133829	61	61
1790219133830	67	67
1790219133831	69	69
1790219133832	64	65
1790219133833	64	64
1790219133834	101	101
1790219133835	75	75
1790219133836	72	72
1790219133837	83	83
1790219133838	65	65
1790219133839	69	69
1790219133840	67	67
1790219133841	64	64
1790219133842	69	69
1790219133843	102	103
1790219133844	95	95
1790219133845	68	68
1790219133846	66	66
1790219133847	65	65
1790219133848	76	76
1790219133849	69	69
1790219133850	69	69
1790219133851	61	61
1790219133852	65	65
1790219133853	61	61
1790219133854	68	68
1790219133855	64	64
1790219133856	66	66
1790219133857	63	63
1790219133858	71	71
1790219133859	66	66
1790219133860	70	70
1790219133861	69	69
1790219133862	61	61
1790219133863	60	60
1790219133864	66	66
1790219133865	66	66
1790219133866	69	69
1790219133867	67	67
1790219133868	62	62
1790219133869	69	69
1790219133870	65	65
1790219133871	68	68
1790219133872	67	67
1790219133873	62	62
1790219133874	66	66
1790219133875	65	65
1790219133876	73	73
1790219133877	81	81
1790219133878	78	78
1790219133879	67	67
1790219133880	72	72
1790219133881	63	63
1790219133882	64	64
1790219133883	67	67
1790219133884	63	63
1790219133885	63	63
1790219133886	56	56
1790219133887	68	68
1790219133888	65	65
1790219133889	88	88
1790219133890	68	68
1790219133891	69	69
1790219133892	73	73
1790219133893	66	66
1790219133894	59	59
1790219133895	63	63
1790219133896	61	61
1790219133897	84	84
1790219133898	72	72
1790219133899	77	77
1790219133900	82	82
1790219133901	62	62
1790219133902	74	74
1790219133903	71	71
1790219133904	68	68
1790219133905	67	67
1790219133906	82	82
1790219133907	103	103
1790219133908	109	110
1790219133909	83	83
1790219133910	58	58
1790219133911	61	61
1790219133912	74	74
1790219133913	131	131
1790219133914	60	60
1790219133915	61	61
1790219133916	65	65
1790219133917	62	62
1790219133918	84	84
1790219133919	91	91
1790219133920	125	125
1790219133921	65	65
1790219133922	68	68
1790219133923	63	63
1790219133924	63	63
1790219133925	64	64
1790219133926	64	64
1790219133927	61	61
1790219133928	60	60
1790219133929	59	59
1790219133930	63	63
1790219133931	60	60
1790219133932	63	63
1790219133933	61	61
1790219133934	61	61
1790219133935	63	63
1790219133936	61	61
1790219133937	63	63
1790219133938	63	63
1790219133939	61	61
1790219133940	64	64
1790219133941	63	63
1790219133942	75	75
1790219133943	59	59
1790219133944	63	63
1790219133945	59	59
1790219133946	64	64
1790219133947	63	63
1790219133948	56	56
1790219133949	60	60
1790219133950	65	65
1790219133951	60	60
1790219133952	59	59
1790219133953	63	63
1790219133954	59	59
1790219133955	63	63
1790219133956	56	56
1790219133957	60	60
1790219133958	57	57
1790219133959	62	62
1790219133960	60	60
1790219133961	63	63
1790219133962	56	56
1790219133963	60	60
1790219133964	61	61
1790219133965	62	62
1790219133966	57	57
1790219133967	62	62
1790219133968	59	59
1790219133969	61	61
1790219133970	65	65
1790219133971	73	73
1790219133972	65	65
1790219133973	68	68
1790219133974	64	64
1790219133975	60	60
1790219133976	60	60
1790219133977	63	63
1790219133978	62	62
1790219133979	62	62
1790219133980	56	56
1790219133981	59	59
1790219133982	55	55
1790219133983	57	57
1790219133984	60	60
1790219133985	104	104
1790219133986	105	105
1790219133987	79	79
1790219133988	102	102
1790219133989	83	83
1790219133990	83	83
1790219133991	366	366
1790219133992	130	492
1790219133993	77	78
1790219133994	71	72
1790219133995	66	66
1790219133996	77	77
1790219133997	102	102
1790219133998	147	147
1790219133999	123	123
1790219134000	103	111
1790219134001	84	84
1790219134002	70	70
1790219134003	75	75
1790219134004	67	67
1790219134005	64	64
1790219134006	57	57
1790219134007	63	63
1790219134008	64	64
1790219134009	63	63
1790219134010	88	88
1790219134011	61	61
1790219134012	68	68
1790219134013	62	62
1790219134014	146	146
1790219134015	76	76
1790219134016	96	96
1790219134017	64	64
1790219134018	61	61
1790219134019	66	66
1790219134020	65	65
1790219134021	60	60
1790219134022	75	75
1790219134023	58	58
1790219134024	62	62
1790219134025	69	69
1790219134026	85	85
1790219134027	67	67
1790219134028	66	66
1790219134029	57	57
1790219134030	66	66
1790219134031	91	91
1790219134032	81	81
1790219134033	58	58
1790219134034	70	70
1790219134035	89	89
1790219134036	129	129
1790219134037	76	76
1790219134038	71	71
1790219134039	65	65
1790219134040	66	66
1790219134041	65	65
1790219134042	60	60
1790219134043	70	70
1790219134044	70	70
1790219134045	56	56
1790219134046	72	72
1790219134047	59	59
1790219134048	61	61
1790219134049	61	61
1790219134050	59	59
1790219134051	59	59
1790219134052	56	56
1790219134053	57	57
1790219134054	56	56
1790219134055	62	62
1790219134056	59	59
1790219134057	59	59
1790219134058	55	55
1790219134059	58	58
1790219134060	58	58
1790219134061	55	55
1790219134062	66	66
1790219134063	66	66
1790219134064	61	61
1790219134065	70	70
1790219134066	61	61
1790219134067	61	61
1790219134068	59	59
1790219134069	63	63
1790219134070	73	73
1790219134071	58	58
1790219134072	57	57
1790219134073	54	54
1790219134074	57	57
1790219134075	58	58
1790219134076	66	66
1790219134077	58	58
1790219134078	59	59
1790219134079	60	60
1790219134080	59	59
1790219134081	58	58
1790219134082	61	61
1790219134083	58	58
1790219134084	60	60
1790219134085	62	62
1790219134086	63	63
1790219134087	61	61
1790219134088	61	61
1790219134089	57	57
1790219134090	55	55
1790219134091	63	63
1790219134092	61	61
1790219134093	61	61
1790219134094	61	61
1790219134095	61	61
1790219134096	56	56
1790219134097	59	59
1790219134098	54	54
1790219134099	59	59
1790219134100	64	64
1790219134101	58	58
1790219134102	55	55
1790219134103	56	56
1790219134104	56	56
1790219134105	59	59
1790219134106	59	59
1790219134107	59	59
1790219134108	56	56
1790219134109	60	60
1790219134110	61	61
1790219134111	62	62
1790219134112	58	58
1790219134113	56	56
1790219134114	55	55
1790219134115	125	125
1790219134116	56	56
1790219134117	58	58
1790219134118	62	62
1790219134119	59	59
1790219134120	56	56
1790219134121	58	58
1790219134122	57	57
1790219134123	57	57
1790219134124	64	64
1790219134125	61	61
1790219134126	71	71
1790219134127	72	72
1790219134128	57	57
1790219134129	61	61
1790219134130	63	63
1790219134131	63	63
1790219134132	60	60
1790219134133	59	59
1790219134134	62	62
1790219134135	60	60
1790219134136	59	59
1790219134137	59	59
1790219134138	58	58
1790219134139	65	65
1790219134140	56	56
1790219134141	59	59
1790219134142	65	65
1790219134143	60	60
1790219134144	62	62
1790219134145	58	58
1790219134146	58	58
1790219134147	59	59
1790219134148	61	61
1790219134149	61	61
1790219134150	60	60
1790219134151	55	55
1790219134152	53	53
1790219134153	59	59
1790219134154	54	54
1790219134155	63	63
