at_ms	connected_clients	pubsub_clients	mem_clients_normal	client_recent_max_output_buffer	client_output_buffer_limit_disconnections
1790219189152	3	1	4664	0	0
1790219189356	4	1	14389451	14332296	0
1790219189560	3	0	53771	25896552	1
1790219189764	3	0	53771	25896552	1
1790219189967	3	0	53771	25896552	1
1790219190170	2	0	2304	25896552	1
1790219190374	2	0	2304	25896552	1
1790219190576	2	0	2304	25896552	1
1790219190779	2	0	2304	25896552	1
1790219190981	2	0	2304	25896552	1
1790219191184	2	0	2304	25896552	1
1790219191387	2	0	2304	25896552	1
1790219191589	2	0	2304	25896552	1
1790219191792	2	0	2304	25896552	1
1790219191995	2	0	2304	25896552	1
1790219192198	2	0	2304	25896552	1
1790219192402	2	0	2304	25896552	1
1790219192605	2	0	2304	25896552	1
1790219192809	2	0	2304	25896552	1
1790219193012	2	0	2304	25896552	1
1790219193215	2	0	2304	25896552	1
1790219193419	2	0	19968	25896552	1
1790219193622	2	0	2304	25896552	1
1790219193825	2	0	2304	25896552	1
1790219194027	2	0	2304	25896552	1
1790219194230	2	0	2304	25896552	1
1790219194433	2	0	2304	25896552	1
1790219194637	2	0	2304	25896552	1
1790219194840	2	0	2304	25896552	1
1790219195043	2	0	2304	25896552	1
1790219195245	2	0	2304	25896552	1
1790219195448	2	0	2304	25896552	1
1790219195651	2	0	2304	25896552	1
1790219195854	2	0	2304	25896552	1
1790219196056	2	0	2304	0	1
1790219196262	2	0	2304	0	1
1790219196464	2	0	2304	0	1
1790219196667	2	0	2304	0	1
1790219196870	2	0	2304	0	1
1790219197073	2	0	2304	0	1
1790219197275	2	0	2304	0	1
1790219197482	2	0	2304	0	1
1790219197684	2	0	2304	0	1
1790219197887	2	0	2304	0	1
1790219198090	2	0	2304	0	1
1790219198293	2	0	2304	0	1
1790219198495	2	0	2304	0	1
1790219198698	2	0	2304	0	1
1790219198901	2	0	2304	0	1
1790219199104	2	0	2304	0	1
1790219199306	2	0	2304	0	1
1790219199509	2	0	2304	0	1
1790219199712	2	0	2304	0	1
1790219199916	2	0	2304	0	1
1790219200119	2	0	2304	0	1
1790219200322	2	0	2304	0	1
1790219200525	2	0	2304	0	1
1790219200730	2	0	2304	0	1
1790219200933	2	0	2304	0	1
1790219201135	2	0	2304	0	1
