t_seconds	active_defrag_running	active_defrag_hits	active_defrag_misses	allocator_frag_ratio	allocator_frag_bytes	mem_fragmentation_ratio	used_memory	used_memory_rss	used_cpu_user
0	25	0	0	3.63	127964576	4.26	45944120	195895296	2.181960
1	25	195069	91083	3.71	127224152	4.27	45944120	195895296	2.459640
2	20	201437	565944	1.83	39065800	4.27	45944088	195895296	2.680470
3	18	201437	895007	1.83	39065800	4.20	45944088	192942080	2.891681
4	14	201437	1328607	1.83	39065800	4.20	45944088	192942080	3.053821
5	14	201437	1544689	1.83	39065800	4.20	45944088	192942080	3.228788
6	13	201437	1756168	1.83	39065800	4.20	45944088	192942080	3.388903
7	11	201437	1962849	1.83	39065800	3.07	45944088	140959744	3.541943
8	11	201437	2131303	1.83	39065800	3.07	45944088	140959744	3.678986
9	10	201439	2278888	1.83	39065832	3.07	45944088	140959744	3.804223
10	10	201439	2414955	1.83	39065832	3.07	45944088	140959744	3.929105
11	9	201439	2600588	1.83	39065832	3.07	45944088	140959744	4.039633
12	9	201439	2713626	1.83	39065832	3.07	45944088	140959744	4.149931
13	8	201439	2871915	1.83	39065832	3.07	45944088	140959744	4.249433
14	8	201439	2972345	1.83	39065832	3.07	45944088	140959744	4.346396
15	7	201439	3068187	1.83	39065832	3.07	45944088	140959744	4.443576
16	7	201439	3167167	1.83	39065832	2.34	45944088	107339776	4.529794
17	7	201439	3266086	1.83	39065832	2.34	45944088	107339776	4.622216
18	6	201439	3353067	1.83	39065832	2.34	45944088	107339776	4.702056
19	6	201439	3445921	1.83	39065832	2.34	45944088	107339776	4.778364
20	6	201439	3555756	1.83	39074792	2.34	45944088	107339776	4.858450
21	6	201439	3644711	1.83	39074792	2.34	45944088	107339776	4.941036
22	6	201439	3739193	1.83	39074792	2.34	45944088	107339776	5.015338
23	6	201439	3804214	1.83	39079912	2.34	45944088	107339776	5.095292
24	6	201439	3870958	1.83	39116776	2.34	45944088	107339776	5.170066
25	5	201439	3938878	1.83	39116776	2.34	45944088	107339776	5.241522
26	5	201439	4004094	1.83	39202792	2.34	45944088	107339776	5.303882
27	5	201439	4078085	1.83	39202792	2.34	45944088	107339776	5.368924
28	5	201439	4137617	1.83	39202792	2.34	45944088	107339776	5.434610
29	5	201439	4207584	1.83	39202792	2.34	45944088	107339776	5.491601
30	5	201439	4270313	1.83	39202792	2.34	45944088	107339776	5.550512
31	5	201439	4361617	1.83	39202792	2.34	45944088	107339776	5.617807
32	5	201439	4415465	1.83	39202792	2.34	45944088	107339776	5.680129
33	5	201439	4463479	1.83	39202792	2.34	45944088	107339776	5.750080
34	4	201439	4516717	1.83	39202792	2.34	45944088	107339776	5.808518
35	4	201439	4568354	1.83	39202792	2.34	45944088	107339776	5.857250
36	4	201439	4636072	1.83	39202792	2.34	45944088	107339776	5.908817
37	4	201439	4687689	1.83	39202792	2.34	45944088	107339776	5.963636
38	4	201439	4738271	1.83	39202792	2.34	45944088	107339776	6.018344
39	4	201439	4799423	1.83	39202792	2.34	45944088	107339776	6.074002
40	4	201439	4850406	1.83	39202792	2.34	45944088	107339776	6.126595
