t_seconds	dbsize	keys	expires	expired_keys	expired_stale_perc	used_memory	used_memory_rss
-0.53	0	0	0	0	0.00	1504544	41074688
-0.32	0	0	0	0	0.00	1529232	41074688
-0.09	0	0	0	0	0.00	1529232	41074688
0.13	38855	33406	33406	0	0.00	9156424	40878080
0.34	134699	130395	130395	0	0.00	29599904	51757056
0.55	200000	200000	200000	0	0.00	40257712	67354624
0.76	200000	200000	200000	0	0.00	39191640	67354624
0.99	200000	200000	200000	0	0.00	39187528	67354624
1.20	200000	200000	200000	0	0.00	39179272	67354624
1.42	200000	200000	200000	0	0.00	39154072	67354624
1.64	200000	200000	200000	0	0.00	39146552	67354624
1.87	200000	200000	200000	0	0.00	38095520	67354624
2.09	200000	200000	200000	0	0.00	38095520	67354624
2.32	200000	200000	200000	0	0.00	38095520	67354624
2.54	200000	200000	200000	0	0.00	38095520	67354624
2.77	200000	200000	200000	0	0.00	38095520	67354624
2.99	200000	200000	200000	0	0.00	38095520	67354624
3.22	200000	200000	200000	0	0.00	38095520	67354624
3.44	200000	200000	200000	0	0.00	38095520	67354624
3.67	199998	199998	199998	2	0.46	38095184	67354624
3.89	199997	199997	199997	3	0.66	38095000	67354624
4.12	199982	199982	199982	18	1.74	38092592	67354624
4.34	199972	199972	199972	28	2.69	38090976	67354624
4.56	199951	199951	199951	49	4.12	38087656	67354624
4.78	199916	199916	199916	84	5.54	38082080	67354624
5.01	199503	199503	199503	497	7.68	38014952	67354624
5.23	197840	197940	197940	2133	13.98	37751128	67354624
5.46	195289	196084	196084	4408	20.89	37357816	67354624
5.68	184123	185441	185441	15070	26.93	35593800	67354624
5.90	171397	173130	173130	27438	31.62	33567384	67354624
6.12	167198	168638	168638	31842	36.63	32876256	67354624
6.36	139327	142635	142635	58410	40.78	28462048	67354624
6.60	123473	126059	126059	75220	45.30	25854344	67354624
6.84	101797	109893	109893	90517	48.85	22322856	67354624
7.08	94510	96049	96049	104453	47.68	21135008	67354624
7.32	86482	87753	87753	112671	45.60	19823664	67354624
7.54	75832	79221	79221	122360	44.40	18181488	67354624
7.76	60899	62513	62513	138004	43.72	15705992	67354624
7.99	57247	58445	58445	141869	43.83	15102800	67354624
8.23	44896	45985	45985	154281	43.73	13102248	67354624
8.45	30888	38660	38660	168115	43.21	11397272	67354624
8.69	21974	23040	23040	177424	41.22	7802480	67371008
8.92	15273	17074	17074	183823	42.10	4668504	67371008
9.16	4063	4072	4072	195931	40.21	2310168	67371008
9.38	35	93	93	199933	41.92	1597944	67371008
9.60	0	0	0	200000	36.62	1578832	67371008
9.82	0	0	0	200000	24.29	1578832	67371008
10.05	0	0	0	200000	16.12	1578832	67371008
10.27	0	0	0	200000	10.69	1578832	67371008
10.50	0	0	0	200000	8.71	1578832	67371008
10.73	0	0	0	200000	7.47	1578832	67371008
10.95	0	0	0	200000	6.74	1578832	67371008
11.17	0	0	0	200000	6.08	1578832	67371008
11.39	0	0	0	200000	5.49	1578832	67371008
11.62	0	0	0	200000	4.95	1578832	67371008
11.83	0	0	0	200000	4.47	1578832	63074304
12.05	0	0	0	200000	4.03	1578832	63074304
12.30	0	0	0	200000	3.46	1578832	63074304
12.51	0	0	0	200000	3.12	1578832	63074304
12.74	0	0	0	200000	2.82	1578832	63074304
12.97	0	0	0	200000	2.54	1578832	63074304
13.19	0	0	0	200000	2.30	1578832	63074304
13.42	0	0	0	200000	1.97	1578832	63074304
13.64	0	0	0	200000	1.78	1578832	63074304
13.86	0	0	0	200000	1.60	1578832	63074304
14.09	0	0	0	200000	1.45	1578832	63074304
14.31	0	0	0	200000	1.31	1578832	63074304
14.54	0	0	0	200000	1.18	1578832	63074304
14.77	0	0	0	200000	1.01	1578832	63074304
14.99	0	0	0	200000	0.91	1578832	63074304
15.21	0	0	0	200000	0.82	1578832	63074304
