t_seconds	dbsize	keys	expires	expired_keys	expired_stale_perc	used_memory	used_memory_rss
-0.54	0	0	0	0	0.00	1504168	35147776
-0.32	0	0	0	0	0.00	1528856	35147776
-0.09	0	0	0	0	0.00	1528856	35147776
0.13	38159	34968	34968	0	0.00	9179232	35147776
0.34	136994	132464	132464	0	0.00	30027192	49086464
0.55	200000	200000	200000	0	0.00	40265616	67567616
0.77	200000	200000	200000	0	0.00	39185016	67567616
0.99	200000	200000	200000	0	0.00	39177400	67567616
1.21	200000	200000	200000	0	0.00	39169192	67567616
1.43	200000	200000	200000	0	0.00	39154872	67567616
1.66	200000	200000	200000	0	0.00	38095520	67567616
1.89	200000	200000	200000	0	0.00	38095520	67567616
2.11	200000	200000	200000	0	0.00	38095520	67567616
2.33	200000	200000	200000	0	0.00	38095520	67567616
2.55	200000	200000	200000	0	0.00	38095520	67567616
2.77	200000	200000	200000	0	0.00	38095520	67567616
3.00	200000	200000	200000	0	0.00	38095520	67567616
3.22	199887	199887	199887	113	1.64	38077160	67567616
3.45	173592	175605	175605	25070	20.76	33960136	67567616
3.68	85348	122960	122960	78362	44.66	19968864	67567616
3.93	47422	49442	49442	151230	63.29	13576128	67567616
4.18	2715	5569	5569	195461	75.64	2811328	67428352
4.41	0	1	1	200000	67.03	1578832	67690496
4.62	0	0	0	200000	42.24	1578832	67690496
4.84	0	0	0	200000	28.03	1578832	67690496
5.06	0	0	0	200000	18.59	1578832	67690496
5.29	0	0	0	200000	12.33	1578832	67690496
5.51	0	0	0	200000	9.54	1578832	67690496
5.74	0	0	0	200000	8.61	1578832	67690496
5.96	0	0	0	200000	7.39	1578832	67690496
6.19	0	0	0	200000	6.67	1578832	67690496
6.42	0	0	0	200000	6.02	1578832	67690496
6.64	0	0	0	200000	5.43	1578832	67690496
6.86	0	0	0	200000	4.90	1578832	67690496
7.09	0	0	0	200000	4.20	1578832	67690496
7.31	0	0	0	200000	3.79	1578832	67690496
7.53	0	0	0	200000	3.42	1578832	67690496
7.76	0	0	0	200000	3.09	1578832	67690496
7.98	0	0	0	200000	2.79	1578832	67690496
8.21	0	0	0	200000	2.52	1578832	67690496
8.44	0	0	0	200000	2.16	1578832	67690496
8.66	0	0	0	200000	1.95	1578832	58171392
8.87	0	0	0	200000	1.76	1578832	58171392
9.10	0	0	0	200000	1.59	1578832	58171392
9.33	0	0	0	200000	1.43	1578832	58171392
9.55	0	0	0	200000	1.29	1578832	58171392
9.77	0	0	0	200000	1.17	1578832	58171392
9.99	0	0	0	200000	1.05	1578832	58171392
10.21	0	0	0	200000	0.90	1578832	58171392
10.43	0	0	0	200000	0.81	1578832	58171392
10.66	0	0	0	200000	0.73	1578832	58171392
10.89	0	0	0	200000	0.66	1578832	58171392
11.12	0	0	0	200000	0.60	1578832	58171392
11.34	0	0	0	200000	0.54	1578832	58171392
11.56	0	0	0	200000	0.46	1578832	58171392
11.79	0	0	0	200000	0.42	1578832	58171392
12.01	0	0	0	200000	0.38	1578832	58171392
12.23	0	0	0	200000	0.34	1578832	58171392
12.45	0	0	0	200000	0.31	1578832	58171392
12.67	0	0	0	200000	0.28	1578832	58171392
12.89	0	0	0	200000	0.25	1578832	58171392
13.12	0	0	0	200000	0.23	1578832	58171392
13.34	0	0	0	200000	0.19	1578832	58171392
13.57	0	0	0	200000	0.17	1578832	58171392
13.79	0	0	0	200000	0.16	1578832	58171392
14.02	0	0	0	200000	0.14	1578832	58171392
14.24	0	0	0	200000	0.13	1578832	58171392
14.46	0	0	0	200000	0.12	1578832	58171392
14.68	0	0	0	200000	0.10	1578832	58171392
14.90	0	0	0	200000	0.09	1578832	58171392
