config	crash	run	last_acked_seq	last_ack_at_ms	killed_at_ms	restart_ready_ms	present_of_acked max_present beyond_acked dbsize
none	process	1	5703	1790217544605	1790217544526	328	0 0 0 0
rdb-default	process	1	5753	1790217552254	1790217552175	331	0 0 0 0
aof-no	process	1	5746	1790217559894	1790217559810	343	5746 5746 0 5746
aof-everysec	process	1	5753	1790217567560	1790217567481	335	5753 5753 0 5753
aof-always	process	1	5744	1790217575197	1790217575116	334	5744 5744 1 5745
none	power	1	5920	1790217583010	1790217582928	333	0 0 0 0
rdb-default	power	1	5921	1790217590875	1790217590794	334	0 0 0 0
aof-everysec	power	1	5912	1790217598737	1790217598654	330	5175 5175 0 5175
aof-everysec	power	2	5916	1790217606582	1790217606496	334	5334 5334 0 5334
aof-everysec	power	3	5911	1790217614452	1790217614373	329	5005 5005 0 5005
aof-everysec	power	4	5912	1790217622311	1790217622232	334	5006 5006 0 5006
aof-everysec	power	5	5907	1790217630187	1790217630104	332	4997 4997 0 4997
aof-always	power	1	5915	1790217638052	1790217637970	336	5915 5915 0 5915
aof-always	power	2	5920	1790217645918	1790217645840	332	5920 5920 0 5920
aof-always	power	3	5926	1790217653800	1790217653714	329	5926 5926 0 5926
