r1 r1-1  | 2026-09-24T02:57:37.508738713Z 1:M 24 Sep 2026 02:57:37.508 * <search> gc: ON, prefix min length: 2, min word length to stem: 4, prefix max expansions: 200, query timeout (ms): 500, timeout policy: return, oom policy: return, cursor read size: 1000, cursor max idle (ms): 300000, max doctable size: 1000000, max number of search results:  1000000, default scorer: BM25STD, 
r1 r1-1  | 2026-09-24T02:57:37.509100463Z 1:M 24 Sep 2026 02:57:37.509 * <search> Cluster configuration: AUTO partitions, type: 0, coordinator timeout: 0ms
r1 r1-1  | 2026-09-24T02:57:37.585302421Z 1:M 24 Sep 2026 02:57:37.585 * Full resync requested by replica r2-data:6379 
r1 r1-1  | 2026-09-24T02:57:37.585311046Z 1:M 24 Sep 2026 02:57:37.585 * Replication backlog created, my new replication IDs are 'e37ca02c642bfb8ab3b2b658a53f8cf5ff66fd95' and '0000000000000000000000000000000000000000'
r1 r1-1  | 2026-09-24T02:57:37.585312421Z 1:M 24 Sep 2026 02:57:37.585 * Replica r2-data:6379 is capable of rdb channel synchronization, and partial sync isn't possible. Full sync will continue with dedicated rdb channel.
r1 r1-1  | 2026-09-24T02:57:37.585852963Z 1:M 24 Sep 2026 02:57:37.585 * Full resync requested by replica r2-data:6379 (rdb-channel)
r1 r1-1  | 2026-09-24T02:57:37.588124421Z 1:M 24 Sep 2026 02:57:37.588 * Connection with replica (rdbchannel) r2-data:6379 lost.
r1 r1-1  | 2026-09-24T02:57:37.659236838Z 1:M 24 Sep 2026 02:57:37.659 * Full resync requested by replica r3-data:6379 
r1 r1-1  | 2026-09-24T02:57:37.659238130Z 1:M 24 Sep 2026 02:57:37.659 * Replica r3-data:6379 is capable of rdb channel synchronization, and partial sync isn't possible. Full sync will continue with dedicated rdb channel.
r1 r1-1  | 2026-09-24T02:57:37.659520713Z 1:M 24 Sep 2026 02:57:37.659 * Full resync requested by replica r3-data:6379 (rdb-channel)
r1 r1-1  | 2026-09-24T02:57:37.661908546Z 1:M 24 Sep 2026 02:57:37.661 * Connection with replica (rdbchannel) r3-data:6379 lost.
r1 r1-1  | 2026-09-24T02:57:50.130622677Z 1:M 24 Sep 2026 02:57:50.130 * <search> gc: ON, prefix min length: 2, min word length to stem: 4, prefix max expansions: 200, query timeout (ms): 500, timeout policy: return, oom policy: return, cursor read size: 1000, cursor max idle (ms): 300000, max doctable size: 1000000, max number of search results:  1000000, default scorer: BM25STD, 
r1 r1-1  | 2026-09-24T02:57:50.131024594Z 1:M 24 Sep 2026 02:57:50.130 * <search> Cluster configuration: AUTO partitions, type: 0, coordinator timeout: 0ms
r1 r1-1  | 2026-09-24T02:58:00.222136918Z 1:S 24 Sep 2026 02:58:00.222 * MASTER <-> REPLICA sync started
