r1 r1-1  | 2026-09-24T02:58:06.013469796Z 1:M 24 Sep 2026 02:58:06.013 * <search> gc: ON, prefix min length: 2, min word length to stem: 4, prefix max expansions: 200, query timeout (ms): 500, timeout policy: return, oom policy: return, cursor read size: 1000, cursor max idle (ms): 300000, max doctable size: 1000000, max number of search results:  1000000, default scorer: BM25STD, 
r1 r1-1  | 2026-09-24T02:58:06.013726504Z 1:M 24 Sep 2026 02:58:06.013 * <search> Cluster configuration: AUTO partitions, type: 0, coordinator timeout: 0ms
r1 r1-1  | 2026-09-24T02:58:06.849910254Z 1:M 24 Sep 2026 02:58:06.849 * Full resync requested by replica r3-data:6379 
r1 r1-1  | 2026-09-24T02:58:06.849911796Z 1:M 24 Sep 2026 02:58:06.849 * Replication backlog created, my new replication IDs are 'c4184f2b3f2d490d38a2f9081dafb2ba59a41e12' and '0000000000000000000000000000000000000000'
r1 r1-1  | 2026-09-24T02:58:06.849913129Z 1:M 24 Sep 2026 02:58:06.849 * Replica r3-data:6379 is capable of rdb channel synchronization, and partial sync isn't possible. Full sync will continue with dedicated rdb channel.
r1 r1-1  | 2026-09-24T02:58:06.850304879Z 1:M 24 Sep 2026 02:58:06.850 * Full resync requested by replica r3-data:6379 (rdb-channel)
r1 r1-1  | 2026-09-24T02:58:06.854881254Z 1:M 24 Sep 2026 02:58:06.854 * Connection with replica (rdbchannel) r3-data:6379 lost.
r1 r1-1  | 2026-09-24T02:58:06.937039254Z 1:M 24 Sep 2026 02:58:06.936 * Full resync requested by replica r2-data:6379 
r1 r1-1  | 2026-09-24T02:58:06.937040296Z 1:M 24 Sep 2026 02:58:06.936 * Replica r2-data:6379 is capable of rdb channel synchronization, and partial sync isn't possible. Full sync will continue with dedicated rdb channel.
r1 r1-1  | 2026-09-24T02:58:06.937574838Z 1:M 24 Sep 2026 02:58:06.937 * Full resync requested by replica r2-data:6379 (rdb-channel)
r1 r1-1  | 2026-09-24T02:58:06.940368254Z 1:M 24 Sep 2026 02:58:06.940 * Connection with replica (rdbchannel) r2-data:6379 lost.
r1 r1-1  | 2026-09-24T02:58:34.117401336Z 1:M 24 Sep 2026 02:58:34.117 * Connection with replica r3-data:6379 lost.
r1 r1-1  | 2026-09-24T02:58:34.117422878Z 1:M 24 Sep 2026 02:58:34.117 * Connection with replica r2-data:6379 lost.
r1 r1-1  | 2026-09-24T02:58:39.125757130Z 1:S 24 Sep 2026 02:58:39.125 * MASTER <-> REPLICA sync started
r1 r1-1  | 2026-09-24T02:58:39.126233589Z 1:S 24 Sep 2026 02:58:39.126 * PSYNC is not possible, initialize RDB channel.
r1 r1-1  | 2026-09-24T02:58:39.127558672Z 1:S 24 Sep 2026 02:58:39.127 * MASTER <-> REPLICA sync: receiving streamed RDB from master with EOF to disk
r1 r1-1  | 2026-09-24T02:58:39.128002005Z 1:S 24 Sep 2026 02:58:39.127 * MASTER <-> REPLICA sync: Loading DB in memory
r1 r1-1  | 2026-09-24T02:58:39.128859922Z 1:S 24 Sep 2026 02:58:39.128 * MASTER <-> REPLICA sync: Flushing old data
r1 r1-1  | 2026-09-24T02:58:39.130512005Z 1:S 24 Sep 2026 02:58:39.130 * MASTER <-> REPLICA sync: Finished with success
r1 r1-1  | 2026-09-24T02:58:39.130542547Z 1:S 24 Sep 2026 02:58:39.130 * MASTER <-> REPLICA sync: Starting to stream replication buffer into the db (95 bytes).
r1 r1-1  | 2026-09-24T02:58:39.130602547Z 1:S 24 Sep 2026 02:58:39.130 * MASTER <-> REPLICA sync: Successfully streamed replication buffer into the db (95 bytes in total)
r2 r2-1  | 2026-09-24T02:58:05.925755754Z 1:S 24 Sep 2026 02:58:05.925 * <search> gc: ON, prefix min length: 2, min word length to stem: 4, prefix max expansions: 200, query timeout (ms): 500, timeout policy: return, oom policy: return, cursor read size: 1000, cursor max idle (ms): 300000, max doctable size: 1000000, max number of search results:  1000000, default scorer: BM25STD, 
r2 r2-1  | 2026-09-24T02:58:05.925993504Z 1:S 24 Sep 2026 02:58:05.925 * <search> Cluster configuration: AUTO partitions, type: 0, coordinator timeout: 0ms
