r1 r1-1  | 2026-09-24T02:59:25.634589888Z 1:M 24 Sep 2026 02:59:25.634 * <search> gc: ON, prefix min length: 2, min word length to stem: 4, prefix max expansions: 200, query timeout (ms): 500, timeout policy: return, oom policy: return, cursor read size: 1000, cursor max idle (ms): 300000, max doctable size: 1000000, max number of search results:  1000000, default scorer: BM25STD, 
r1 r1-1  | 2026-09-24T02:59:25.634860930Z 1:M 24 Sep 2026 02:59:25.634 * <search> Cluster configuration: AUTO partitions, type: 0, coordinator timeout: 0ms
r1 r1-1  | 2026-09-24T02:59:26.482472805Z 1:M 24 Sep 2026 02:59:26.482 * Full resync requested by replica r2-data:6379 
r1 r1-1  | 2026-09-24T02:59:26.482474597Z 1:M 24 Sep 2026 02:59:26.482 * Replication backlog created, my new replication IDs are 'feb08bc78fb1da2fa38acd137b303244ef93bae4' and '0000000000000000000000000000000000000000'
r1 r1-1  | 2026-09-24T02:59:26.482476180Z 1:M 24 Sep 2026 02:59:26.482 * Replica r2-data:6379 is capable of rdb channel synchronization, and partial sync isn't possible. Full sync will continue with dedicated rdb channel.
r1 r1-1  | 2026-09-24T02:59:26.483169514Z 1:M 24 Sep 2026 02:59:26.483 * Full resync requested by replica r2-data:6379 (rdb-channel)
r1 r1-1  | 2026-09-24T02:59:26.486957930Z 1:M 24 Sep 2026 02:59:26.486 * Connection with replica (rdbchannel) r2-data:6379 lost.
r1 r1-1  | 2026-09-24T02:59:26.561303097Z 1:M 24 Sep 2026 02:59:26.561 * Full resync requested by replica r3-data:6379 
r1 r1-1  | 2026-09-24T02:59:26.561304305Z 1:M 24 Sep 2026 02:59:26.561 * Replica r3-data:6379 is capable of rdb channel synchronization, and partial sync isn't possible. Full sync will continue with dedicated rdb channel.
r1 r1-1  | 2026-09-24T02:59:26.561865347Z 1:M 24 Sep 2026 02:59:26.561 * Full resync requested by replica r3-data:6379 (rdb-channel)
r1 r1-1  | 2026-09-24T02:59:26.565105847Z 1:M 24 Sep 2026 02:59:26.565 * Connection with replica (rdbchannel) r3-data:6379 lost.
r1 r1-1  | 2026-09-24T02:59:49.723506427Z 1:M 24 Sep 2026 02:59:49.723 * Connection with replica r3-data:6379 lost.
r1 r1-1  | 2026-09-24T02:59:49.723526927Z 1:M 24 Sep 2026 02:59:49.723 * Connection with replica r2-data:6379 lost.
