batch.off	batch.size=0：9,450 条/秒，每个请求平均 1.0 条，批大小平均 326 字节（3 轮中位数）
batch.default	默认（batch.size=16384，linger.ms=5）：182,149 条/秒，每个请求平均 61.0 条，批大小平均 16,224 字节（3 轮中位数）
batch.large	batch.size=262144，linger.ms=20：366,300 条/秒，每个请求平均 980.4 条，批大小平均 260,781 字节（3 轮中位数）
compression.none	none：363,636 条/秒，52.9 MB/秒（压缩前），磁盘上的日志 31.0 MB
compression.lz4	lz4：180,180 条/秒，26.2 MB/秒（压缩前），磁盘上的日志 7.5 MB
compression.zstd	zstd：334,448 条/秒，48.6 MB/秒（压缩前），磁盘上的日志 4.2 MB
acks.0	acks=0：固定 2 万条/秒时平均延迟 2.1ms、p99 12ms；不限速 187,266 条/秒
acks.1	acks=1：固定 2 万条/秒时平均延迟 3.4ms、p99 33ms；不限速 172,861 条/秒
acks.all	acks=all：固定 2 万条/秒时平均延迟 12.4ms、p99 183ms；不限速 78,247 条/秒
parallel.par-1	1 个分区：3000 条、每条处理 2ms、6 个消费者：从第一条到最后一条 7.1 秒，真正处理过消息的消费者 1 个
parallel.par-6	6 个分区：3000 条、每条处理 2ms、6 个消费者：从第一条到最后一条 1.2 秒，真正处理过消息的消费者 6 个
skew.even-6	key 均匀分布：6000 条分到 6 个分区 [1026, 1035, 999, 989, 970, 981]，最大分区占 17%；每条处理 1ms、6 个消费者：1.2 秒
skew.hot-6	80% 的消息 key 都是 event-42：6000 条分到 6 个分区 [202, 204, 214, 196, 4976, 208]，最大分区占 83%；每条处理 1ms、6 个消费者：5.9 秒
