event	utc	mono_ms	target	seq	request_id	detail
workload_started	2026-09-23T18:14:22.090486715Z	2	source	1	semisync-applier-paused-1	
client_ack	2026-09-23T18:14:22.205131882Z	116	source	1	semisync-applier-paused-1	
client_ack	2026-09-23T18:14:22.227644382Z	138	source	2	semisync-applier-paused-2	
client_ack	2026-09-23T18:14:22.249871799Z	161	source	3	semisync-applier-paused-3	
client_ack	2026-09-23T18:14:22.272035049Z	183	source	4	semisync-applier-paused-4	
client_ack	2026-09-23T18:14:22.294521340Z	205	source	5	semisync-applier-paused-5	
client_ack	2026-09-23T18:14:22.316954007Z	228	source	6	semisync-applier-paused-6	
client_ack	2026-09-23T18:14:22.338959465Z	250	source	7	semisync-applier-paused-7	
client_ack	2026-09-23T18:14:22.361247465Z	272	source	8	semisync-applier-paused-8	
client_ack	2026-09-23T18:14:22.384081257Z	295	source	9	semisync-applier-paused-9	
client_ack	2026-09-23T18:14:22.406554424Z	317	source	10	semisync-applier-paused-10	
client_ack	2026-09-23T18:14:22.429280215Z	340	source	11	semisync-applier-paused-11	
client_ack	2026-09-23T18:14:22.451624715Z	362	source	12	semisync-applier-paused-12	
client_ack	2026-09-23T18:14:22.473819840Z	385	source	13	semisync-applier-paused-13	
client_ack	2026-09-23T18:14:22.496306257Z	407	source	14	semisync-applier-paused-14	
client_ack	2026-09-23T18:14:22.519057799Z	430	source	15	semisync-applier-paused-15	
client_ack	2026-09-23T18:14:22.541770716Z	453	source	16	semisync-applier-paused-16	
client_ack	2026-09-23T18:14:22.563805924Z	475	source	17	semisync-applier-paused-17	
client_ack	2026-09-23T18:14:22.586967257Z	498	source	18	semisync-applier-paused-18	
client_ack	2026-09-23T18:14:22.610598674Z	521	source	19	semisync-applier-paused-19	
client_ack	2026-09-23T18:14:22.633934424Z	545	source	20	semisync-applier-paused-20	
client_ack	2026-09-23T18:14:22.656187757Z	567	source	21	semisync-applier-paused-21	
client_ack	2026-09-23T18:14:22.679528924Z	590	source	22	semisync-applier-paused-22	
client_ack	2026-09-23T18:14:22.703301132Z	614	source	23	semisync-applier-paused-23	
client_ack	2026-09-23T18:14:22.726532632Z	637	source	24	semisync-applier-paused-24	
client_ack	2026-09-23T18:14:22.749717924Z	661	source	25	semisync-applier-paused-25	
client_ack	2026-09-23T18:14:22.772548257Z	683	source	26	semisync-applier-paused-26	
client_ack	2026-09-23T18:14:22.795665674Z	706	source	27	semisync-applier-paused-27	
client_ack	2026-09-23T18:14:22.819392841Z	730	source	28	semisync-applier-paused-28	
client_ack	2026-09-23T18:14:22.843355757Z	754	source	29	semisync-applier-paused-29	
client_ack	2026-09-23T18:14:22.867176299Z	778	source	30	semisync-applier-paused-30	
client_ack	2026-09-23T18:14:22.891932007Z	803	source	31	semisync-applier-paused-31	
client_ack	2026-09-23T18:14:22.914660882Z	825	source	32	semisync-applier-paused-32	
client_ack	2026-09-23T18:14:22.937586216Z	848	source	33	semisync-applier-paused-33	
client_ack	2026-09-23T18:14:22.960093132Z	871	source	34	semisync-applier-paused-34	
client_ack	2026-09-23T18:14:22.983024799Z	894	source	35	semisync-applier-paused-35	
client_ack	2026-09-23T18:14:23.007474716Z	918	source	36	semisync-applier-paused-36	
client_ack	2026-09-23T18:14:23.030472507Z	941	source	37	semisync-applier-paused-37	
client_ack	2026-09-23T18:14:23.056772924Z	968	source	38	semisync-applier-paused-38	
client_ack	2026-09-23T18:14:23.079188049Z	990	source	39	semisync-applier-paused-39	
client_ack	2026-09-23T18:14:23.101263591Z	1012	source	40	semisync-applier-paused-40	
client_ack	2026-09-23T18:14:23.123624299Z	1034	source	41	semisync-applier-paused-41	
client_ack	2026-09-23T18:14:23.146393466Z	1057	source	42	semisync-applier-paused-42	
