event	utc	mono_ms	target	seq	request_id	detail
workload_started	2026-09-23T18:14:58.306695677Z	2	source	1	semisync-timeout-1	
client_ack	2026-09-23T18:14:58.423445843Z	118	source	1	semisync-timeout-1	
client_ack	2026-09-23T18:14:58.446094552Z	140	source	2	semisync-timeout-2	
client_ack	2026-09-23T18:14:58.468246177Z	163	source	3	semisync-timeout-3	
client_ack	2026-09-23T18:14:58.490356052Z	185	source	4	semisync-timeout-4	
client_ack	2026-09-23T18:14:58.512644593Z	207	source	5	semisync-timeout-5	
client_ack	2026-09-23T18:14:58.535107177Z	229	source	6	semisync-timeout-6	
client_ack	2026-09-23T18:14:58.557081843Z	251	source	7	semisync-timeout-7	
client_ack	2026-09-23T18:14:58.579410260Z	274	source	8	semisync-timeout-8	
client_ack	2026-09-23T18:14:58.601453302Z	296	source	9	semisync-timeout-9	
client_ack	2026-09-23T18:14:58.623980885Z	318	source	10	semisync-timeout-10	
client_ack	2026-09-23T18:14:58.646166885Z	341	source	11	semisync-timeout-11	
client_ack	2026-09-23T18:14:58.668824385Z	363	source	12	semisync-timeout-12	
client_ack	2026-09-23T18:14:58.691621552Z	386	source	13	semisync-timeout-13	
client_ack	2026-09-23T18:14:58.713577593Z	408	source	14	semisync-timeout-14	
client_ack	2026-09-23T18:14:58.736612218Z	431	source	15	semisync-timeout-15	
client_ack	2026-09-23T18:14:58.758927760Z	453	source	16	semisync-timeout-16	
client_ack	2026-09-23T18:14:58.782123093Z	477	source	17	semisync-timeout-17	
client_ack	2026-09-23T18:14:58.804919802Z	499	source	18	semisync-timeout-18	
client_ack	2026-09-23T18:14:58.829182260Z	524	source	19	semisync-timeout-19	
client_ack	2026-09-23T18:14:58.852094635Z	547	source	20	semisync-timeout-20	
client_ack	2026-09-23T18:14:58.874777635Z	569	source	21	semisync-timeout-21	
client_ack	2026-09-23T18:14:58.898019427Z	592	source	22	semisync-timeout-22	
client_ack	2026-09-23T18:14:58.920739302Z	615	source	23	semisync-timeout-23	
client_ack	2026-09-23T18:14:58.943542260Z	638	source	24	semisync-timeout-24	
client_ack	2026-09-23T18:14:58.966019844Z	660	source	25	semisync-timeout-25	
client_ack	2026-09-23T18:14:58.989080760Z	683	source	26	semisync-timeout-26	
client_ack	2026-09-23T18:14:59.011769927Z	706	source	27	semisync-timeout-27	
client_ack	2026-09-23T18:14:59.035132802Z	730	source	28	semisync-timeout-28	
client_ack	2026-09-23T18:14:59.057987302Z	752	source	29	semisync-timeout-29	
client_ack	2026-09-23T18:14:59.081244094Z	776	source	30	semisync-timeout-30	
client_ack	2026-09-23T18:14:59.104152969Z	799	source	31	semisync-timeout-31	
client_ack	2026-09-23T18:14:59.127581010Z	822	source	32	semisync-timeout-32	
client_ack	2026-09-23T18:14:59.150861635Z	845	source	33	semisync-timeout-33	
client_ack	2026-09-23T18:14:59.173476427Z	868	source	34	semisync-timeout-34	
client_ack	2026-09-23T18:14:59.196323052Z	891	source	35	semisync-timeout-35	
client_ack	2026-09-23T18:14:59.218563385Z	913	source	36	semisync-timeout-36	
client_ack	2026-09-23T18:14:59.240963385Z	935	source	37	semisync-timeout-37	
