+-----------------+
+-----------------+
+-------+---------+--------+
| batch | deleted | micros |
+-------+---------+--------+
|     1 |   10000 |  38118 |
|     2 |   10000 |  38356 |
|     3 |   10000 |  40357 |
|     4 |   10000 |  82282 |
|     5 |   10000 |  75374 |
|     6 |   10000 |  70434 |
|     7 |   10000 |  70348 |
|     8 |   10000 |  62168 |
|     9 |   10000 |  59204 |
|    10 |   10000 |  60702 |
|    11 |   10000 |  81040 |
|    12 |   10000 |  62861 |
|    13 |   10000 |  62366 |
|    14 |   10000 |  59601 |
|    15 |   10000 |  71451 |
|    16 |   10000 |  64962 |
|    17 |   10000 |  66990 |
|    18 |   10000 |  60375 |
|    19 |   10000 |  53310 |
|    20 |   10000 |  57831 |
|    21 |   10000 |  54131 |
|    22 |   10000 |  70521 |
|    23 |   10000 |  53477 |
|    24 |   10000 |  69527 |
|    25 |   10000 |  53446 |
|    26 |   10000 |  60138 |
|    27 |   10000 |  78640 |
|    28 |   10000 |  57099 |
|    29 |   10000 |  60252 |
|    30 |   10000 |  55136 |
|    31 |   10000 |  63388 |
|    32 |   10000 |  66267 |
|    33 |   10000 |  59984 |
|    34 |   10000 |  71419 |
|    35 |   10000 |  74365 |
|    36 |   10000 |  58302 |
|    37 |   10000 |  68664 |
|    38 |   10000 |  69071 |
|    39 |   10000 |  63852 |
|    40 |   10000 |  62756 |
|    41 |   10000 |  74268 |
|    42 |   10000 |  84610 |
|    43 |   10000 |  65196 |
|    44 |   10000 |  62774 |
|    45 |   10000 |  60630 |
|    46 |   10000 |  67142 |
|    47 |   10000 |  63876 |
|    48 |   10000 |  59812 |
|    49 |   10000 |  68734 |
|    50 |   10000 |  67448 |
|    51 |   10000 |  67004 |
|    52 |   10000 |  61927 |
|    53 |   10000 |  70116 |
|    54 |   10000 |  79152 |
|    55 |   10000 |  61929 |
|    56 |   10000 |  64756 |
|    57 |   10000 |  84640 |
|    58 |   10000 |  61393 |
|    59 |   10000 |  68000 |
|    60 |   10000 |  63482 |
|    61 |   10000 |  68334 |
|    62 |   10000 |  63791 |
|    63 |   10000 |  65633 |
|    64 |   10000 |  73961 |
|    65 |   10000 |  68659 |
|    66 |   10000 |  61326 |
|    67 |   10000 |  63964 |
|    68 |   10000 |  85021 |
|    69 |   10000 |  67853 |
|    70 |   10000 |  88938 |
|    71 |   10000 |  84000 |
|    72 |   10000 |  62995 |
|    73 |   10000 |  65131 |
|    74 |   10000 |  64231 |
|    75 |   10000 |  61763 |
|    76 |   10000 |  65182 |
|    77 |   10000 |  70273 |
|    78 |   10000 |  70621 |
|    79 |   10000 |  71175 |
|    80 |   10000 |  72898 |
|    81 |   10000 |  69248 |
|    82 |   10000 |  69464 |
|    83 |   10000 |  71881 |
|    84 |   10000 |  61665 |
|    85 |   10000 |  78355 |
|    86 |   10000 |  82462 |
|    87 |   10000 |  67669 |
|    88 |   10000 |  60498 |
|    89 |   10000 |  57848 |
|    90 |   10000 |  71001 |
|    91 |   10000 |  61615 |
|    92 |   10000 |  62949 |
|    93 |   10000 |  81157 |
|    94 |   10000 |  67744 |
|    95 |   10000 |  66242 |
|    96 |   10000 |  66515 |
|    97 |   10000 |  63754 |
|    98 |   10000 |  63676 |
|    99 |   10000 |  80056 |
|   100 |   10000 |  84180 |
|   101 |       0 |    582 |
+-------+---------+--------+
