replica	utc	mono_ms	source_acked_seq	replica_seq	seq_gap	seconds_behind_source	io_service_state	sql_running	received_not_applied	applying_trx_age_ms
replica1	2026-09-23T18:09:46.296905004Z	154	0	0	0	0	ON	Yes	0	0
replica2	2026-09-23T18:09:46.300230671Z	157	0	0	0	0	ON	Yes	1	0
replica1	2026-09-23T18:09:46.553185671Z	410	5	5	0	0	ON	Yes	0	0
replica2	2026-09-23T18:09:46.554598004Z	411	5	5	0	0	ON	Yes	0	0
replica1	2026-09-23T18:09:46.810571588Z	667	10	10	0	0	ON	Yes	0	0
replica2	2026-09-23T18:09:46.810572129Z	667	10	10	0	0	ON	Yes	0	0
replica1	2026-09-23T18:09:47.070035963Z	927	15	15	0	1	ON	Yes	0	0
replica2	2026-09-23T18:09:47.070023588Z	927	15	15	0	1	ON	Yes	0	0
replica2	2026-09-23T18:09:47.324441755Z	1181	20	20	0	0	ON	Yes	0	0
replica1	2026-09-23T18:09:47.324553713Z	1181	20	20	0	0	ON	Yes	0	0
replica1	2026-09-23T18:09:47.582862130Z	1440	25	25	0	0	ON	Yes	0	0
replica2	2026-09-23T18:09:47.582868088Z	1440	25	25	0	0	ON	Yes	0	0
replica2	2026-09-23T18:09:47.840786630Z	1698	30	30	0	0	ON	Yes	0	0
replica1	2026-09-23T18:09:47.840786588Z	1698	30	30	0	0	ON	Yes	0	0
replica2	2026-09-23T18:09:48.103203838Z	1960	35	35	0	0	ON	Yes	0	0
replica1	2026-09-23T18:09:48.103217338Z	1960	35	35	0	0	ON	Yes	0	0
replica2	2026-09-23T18:09:48.357194714Z	2214	40	40	0	0	ON	Yes	0	0
replica1	2026-09-23T18:09:48.357192047Z	2214	40	40	0	0	ON	Yes	0	0
replica2	2026-09-23T18:09:48.612708255Z	2469	45	45	0	0	ON	Yes	0	0
replica1	2026-09-23T18:09:48.612759547Z	2469	45	45	0	0	ON	Yes	0	0
replica1	2026-09-23T18:09:48.867575880Z	2724	50	50	0	0	ON	Yes	0	0
replica2	2026-09-23T18:09:48.867599797Z	2724	50	50	0	0	ON	Yes	0	0
replica2	2026-09-23T18:09:49.121834464Z	2979	55	55	0	1	ON	Yes	0	0
