replica	utc	mono_ms	source_acked_seq	replica_seq	seq_gap	seconds_behind_source	io_service_state	sql_running	received_not_applied	applying_trx_age_ms
replica1	2026-09-23T18:09:59.286183844Z	125	231	231	0	0	ON	Yes	0	0
replica2	2026-09-23T18:09:59.287188719Z	126	231	231	0	0	ON	Yes	0	0
replica2	2026-09-23T18:09:59.543202011Z	382	236	236	0	0	ON	Yes	0	0
replica1	2026-09-23T18:09:59.543217677Z	382	236	236	0	0	ON	Yes	0	0
replica2	2026-09-23T18:09:59.800840219Z	639	241	241	0	0	ON	Yes	0	0
replica1	2026-09-23T18:09:59.800899052Z	639	241	241	0	0	ON	Yes	0	0
replica1	2026-09-23T18:10:00.059781927Z	898	246	246	0	1	ON	Yes	0	0
replica2	2026-09-23T18:10:00.059782094Z	898	246	246	0	1	ON	Yes	0	0
replica1	2026-09-23T18:10:00.316938261Z	1155	251	251	0	0	ON	Yes	0	0
replica2	2026-09-23T18:10:00.316908594Z	1155	251	251	0	0	ON	Yes	0	0
replica2	2026-09-23T18:10:00.571355303Z	1410	256	256	0	0	ON	Yes	0	0
replica1	2026-09-23T18:10:00.571356303Z	1410	256	256	0	0	ON	Yes	0	0
replica2	2026-09-23T18:10:00.828357386Z	1667	261	261	0	0	ON	Yes	0	0
replica1	2026-09-23T18:10:00.828435511Z	1667	261	261	0	0	ON	Yes	0	0
replica1	2026-09-23T18:10:01.087309220Z	1926	266	266	0	0	ON	Yes	0	0
replica2	2026-09-23T18:10:01.087361470Z	1926	266	266	0	0	ON	Yes	0	0
replica1	2026-09-23T18:10:01.342990345Z	2182	271	271	0	0	ON	Yes	0	0
replica2	2026-09-23T18:10:01.343013261Z	2182	271	271	0	0	ON	Yes	0	0
replica1	2026-09-23T18:10:01.596290428Z	2435	276	276	0	0	ON	Yes	0	0
replica2	2026-09-23T18:10:01.596349095Z	2435	276	276	0	0	ON	Yes	0	0
replica2	2026-09-23T18:10:01.849336262Z	2688	281	281	0	0	ON	Yes	0	0
replica1	2026-09-23T18:10:01.851017553Z	2690	281	281	0	0	ON	Yes	0	0
replica2	2026-09-23T18:10:02.102046762Z	2941	286	286	0	1	ON	Yes	0	0
replica1	2026-09-23T18:10:02.103474262Z	2942	286	286	0	1	ON	Yes	0	0
replica2	2026-09-23T18:10:02.354696179Z	3193	291	291	0	0	ON	Yes	0	0
replica1	2026-09-23T18:10:02.357189304Z	3196	291	291	0	0	ON	Yes	0	0
replica2	2026-09-23T18:10:02.607204679Z	3446	296	296	0	0	ON	Yes	0	0
replica1	2026-09-23T18:10:02.609269304Z	3448	296	296	0	0	ON	Yes	0	0
replica2	2026-09-23T18:10:02.859967887Z	3698	301	301	0	0	ON	Yes	0	0
replica1	2026-09-23T18:10:02.861573012Z	3700	301	301	0	0	ON	Yes	0	0
replica2	2026-09-23T18:10:03.113044637Z	3952	305	305	0	1	ON	Yes	0	0
replica1	2026-09-23T18:10:03.114289137Z	3953	305	305	0	1	ON	Yes	0	0
replica2	2026-09-23T18:10:03.365745846Z	4204	310	310	0	0	ON	Yes	0	0
replica1	2026-09-23T18:10:03.367168762Z	4206	310	310	0	0	ON	Yes	0	0
replica2	2026-09-23T18:10:03.619782179Z	4458	315	314	1	0	ON	Yes	0	69
replica1	2026-09-23T18:10:03.620435262Z	4459	315	314	1	0	ON	Yes	0	69
replica2	2026-09-23T18:10:03.873159054Z	4712	320	314	6	0	ON	Yes	7	322
replica1	2026-09-23T18:10:03.874163263Z	4713	320	314	6	0	ON	Yes	7	323
replica1	2026-09-23T18:10:04.126395304Z	4965	325	314	11	1	ON	Yes	12	575
replica2	2026-09-23T18:10:04.127353096Z	4966	325	314	11	1	ON	Yes	12	576
replica1	2026-09-23T18:10:04.378944221Z	5217	330	314	16	1	ON	Yes	17	828
replica2	2026-09-23T18:10:04.379512346Z	5218	330	314	16	1	ON	Yes	17	828
replica2	2026-09-23T18:10:04.631500263Z	5470	335	314	21	1	ON	Yes	22	1080
