replica	utc	mono_ms	source_acked_seq	replica_seq	seq_gap	seconds_behind_source	io_service_state	sql_running	received_not_applied	applying_trx_age_ms
replica1	2026-09-23T18:11:51.102210923Z	119	428	428	0	0	ON	Yes	0	0
replica2	2026-09-23T18:11:51.103759132Z	121	428	428	0	0	ON	Yes	0	0
replica1	2026-09-23T18:11:51.358333090Z	376	433	433	0	0	ON	Yes	0	0
replica2	2026-09-23T18:11:51.358390757Z	376	433	433	0	0	ON	Yes	0	0
replica2	2026-09-23T18:11:51.616462840Z	634	438	438	0	0	ON	Yes	0	0
replica1	2026-09-23T18:11:51.616515465Z	634	438	438	0	0	ON	Yes	0	0
replica2	2026-09-23T18:11:51.874063215Z	891	443	443	0	0	ON	Yes	0	0
replica1	2026-09-23T18:11:51.874084632Z	891	443	443	0	0	ON	Yes	0	0
replica2	2026-09-23T18:11:52.128699882Z	1146	448	448	0	1	ON	Yes	0	0
replica1	2026-09-23T18:11:52.128730007Z	1146	448	448	0	0	ON	Yes	0	0
replica2	2026-09-23T18:11:52.386041215Z	1403	453	453	0	0	ON	Yes	0	0
replica1	2026-09-23T18:11:52.386041299Z	1403	453	453	0	0	ON	Yes	0	0
replica1	2026-09-23T18:11:52.642153757Z	1660	458	458	0	0	ON	Yes	0	0
replica2	2026-09-23T18:11:52.642167549Z	1660	458	458	0	0	ON	Yes	0	0
replica2	2026-09-23T18:11:52.899666674Z	1917	463	463	0	0	ON	Yes	0	0
replica1	2026-09-23T18:11:52.899729049Z	1917	463	463	0	0	ON	Yes	0	0
replica1	2026-09-23T18:11:53.158142674Z	2175	468	468	0	1	ON	Yes	0	0
replica2	2026-09-23T18:11:53.158780424Z	2176	468	468	0	0	ON	Yes	0	0
replica1	2026-09-23T18:11:53.413136883Z	2430	472	472	0	0	ON	Yes	1	2
replica2	2026-09-23T18:11:53.413960466Z	2431	472	472	0	0	ON	Yes	1	2
replica2	2026-09-23T18:11:53.670415008Z	2688	477	477	0	0	ON	Yes	0	0
replica1	2026-09-23T18:11:53.670414883Z	2688	477	477	0	0	ON	Yes	0	0
