seed	orders 表 500,000 行，主键 id，二级索引 (created_at, id)
page.0	第 0 行之后的 20 行：LIMIT offset 读取 21 行、平均 0.18ms；游标 WHERE id > ? 读取 20 行、平均 0.14ms；结果相同=true
page.10000	第 10,000 行之后的 20 行：LIMIT offset 读取 10,021 行、平均 1.12ms；游标 WHERE id > ? 读取 20 行、平均 0.20ms；结果相同=true
page.100000	第 100,000 行之后的 20 行：LIMIT offset 读取 100,021 行、平均 9.64ms；游标 WHERE id > ? 读取 20 行、平均 0.17ms；结果相同=true
page.400000	第 400,000 行之后的 20 行：LIMIT offset 读取 400,021 行、平均 38.16ms；游标 WHERE id > ? 读取 20 行、平均 0.17ms；结果相同=true
time_cursor.row	WHERE (created_at, id) < (?, ?)：倒序翻 50 页取到 1,000 行、不重复 1,000 行，总共读取 25,550 行，第 50 页读取 1,001 行
time_cursor.expanded	WHERE created_at < ? OR (created_at = ? AND id < ?)：倒序翻 50 页取到 1,000 行、不重复 1,000 行，总共读取 1,050 行，第 50 页读取 21 行
write.0	0 个二级索引，写入 20 万行（每 2000 行一批）：3 轮中位数 1,172ms；数据 / 二级索引 11.5 MB / 0.0 MB
write.2	2 个二级索引，写入 20 万行（每 2000 行一批）：3 轮中位数 1,560ms；数据 / 二级索引 11.5 MB / 16.0 MB
write.5	5 个二级索引，写入 20 万行（每 2000 行一批）：3 轮中位数 2,638ms；数据 / 二级索引 11.5 MB / 39.6 MB
